,Date,Open,High,Low,Close,Adj Close,Volume
0,2000-01-03,112.4375,116.0,111.875,116.0,75.62159,10347700
1,2000-01-04,114.0,114.5,110.875,112.0625,73.054688,8227800
2,2000-01-05,112.9375,119.75,112.125,116.0,75.62159,12733200
3,2000-01-06,118.0,118.9375,113.5,114.0,74.317757,7971900
4,2000-01-07,117.25,117.9375,110.625,113.5,73.991837,11856700
5,2000-01-10,117.25,119.375,115.375,118.0,76.925415,8540500
6,2000-01-11,117.875,121.125,116.625,119.0,77.577324,7873300
7,2000-01-12,119.625,122.0,118.25,119.5,77.90328199999999,6803800
8,2000-01-13,119.9375,121.0,115.75,118.25,77.088409,8489700
9,2000-01-14,120.9375,123.3125,117.5,119.625,77.98477199999999,10956600
10,2000-01-18,119.6875,119.75,115.0,115.75,75.458626,7643900
11,2000-01-19,115.5625,122.0,112.6875,119.5,77.90328199999999,8634500
12,2000-01-20,123.0,124.75,119.0,119.0,77.577324,17783400
13,2000-01-21,121.875,123.0,119.9375,121.5,79.207123,7868700
14,2000-01-24,121.875,122.875,116.5625,121.5,79.207123,6499200
15,2000-01-25,116.75,119.5,116.0,119.125,77.658783,6936900
16,2000-01-26,119.0625,119.9375,116.0,116.75,76.11054200000001,4895100
17,2000-01-27,118.0,118.4375,111.625,113.5,73.991837,8324600
18,2000-01-28,112.75,114.1875,110.0625,111.5625,72.728729,6669400
19,2000-01-31,111.375,112.8125,109.625,112.25,73.176918,6202700
20,2000-02-01,112.375,113.4375,109.125,110.0,71.71012900000001,7304700
21,2000-02-02,112.0,115.8125,110.375,113.5,73.991837,7707700
22,2000-02-03,115.0,117.5,114.0625,117.125,76.354958,6213800
23,2000-02-04,118.1875,118.4375,114.8125,115.625,75.377144,5405300
24,2000-02-07,116.0,116.875,113.125,114.125,74.399261,5779500
25,2000-02-08,116.9375,119.0,116.1875,118.8125,77.536613,5464300
26,2000-02-09,119.0,119.75,117.0,117.375,76.598511,5374700
27,2000-02-10,117.6875,119.125,116.875,119.125,77.74054699999999,4446600
28,2000-02-11,119.0625,119.4375,114.5625,115.375,75.293312,5749400
29,2000-02-14,116.0,116.375,114.5,116.0625,75.741982,4544000
