,Date,Open,High,Low,Close,Adj Close,Volume
0,2000-01-03,3.745536,4.017857,3.631696,3.997768,3.4784620000000004,133949200
1,2000-01-04,3.866071,3.950893,3.613839,3.660714,3.185191,128094400
2,2000-01-05,3.705357,3.948661,3.678571,3.714286,3.231803,194580400
3,2000-01-06,3.790179,3.821429,3.392857,3.392857,2.952128,191993200
4,2000-01-07,3.446429,3.607143,3.410714,3.553571,3.091966,115183600
5,2000-01-10,3.642857,3.651786,3.383929,3.491071,3.037585,126266000
6,2000-01-11,3.426339,3.549107,3.232143,3.3125,2.882209,110387200
7,2000-01-12,3.392857,3.410714,3.089286,3.113839,2.7093540000000003,244017200
8,2000-01-13,3.374442,3.526786,3.303571,3.455357,3.00651,258171200
9,2000-01-14,3.571429,3.651786,3.549107,3.587054,3.121099,97594000
10,2000-01-18,3.607143,3.785714,3.587054,3.712054,3.229861,114794400
11,2000-01-19,3.772321,3.883929,3.691964,3.805804,3.311433,149410800
12,2000-01-20,4.125,4.339286,4.053571,4.053571,3.527016,457783200
13,2000-01-21,4.080357,4.080357,3.935268,3.975446,3.459039,123981200
14,2000-01-24,3.872768,4.026786,3.754464,3.794643,3.3017220000000003,110219200
15,2000-01-25,3.75,4.040179,3.65625,4.008929,3.488172,124286400
16,2000-01-26,3.928571,4.078125,3.919643,3.935268,3.424081,91789600
17,2000-01-27,3.886161,4.035714,3.821429,3.928571,3.418254,85036000
18,2000-01-28,3.863839,3.959821,3.59375,3.629464,3.158,105837200
19,2000-01-31,3.607143,3.709821,3.375,3.705357,3.224035,175420000
20,2000-02-01,3.714286,3.75,3.571429,3.580357,3.115272,79508800
21,2000-02-02,3.598214,3.647321,3.464286,3.529018,3.070602,116048800
22,2000-02-03,3.582589,3.723214,3.580357,3.689732,3.21044,118798400
23,2000-02-04,3.712054,3.928571,3.700893,3.857143,3.356104,106330000
24,2000-02-07,3.857143,4.080357,3.783482,4.073661,3.544496,110266800
25,2000-02-08,4.071429,4.147321,3.973214,4.102679,3.569745,102160800
26,2000-02-09,4.075893,4.183036,4.015625,4.022321,3.499825,74841200
27,2000-02-10,4.03125,4.066964,3.928571,4.053571,3.527016,75745600
28,2000-02-11,4.058036,4.075893,3.866071,3.883929,3.37941,53062800
29,2000-02-14,3.904018,4.138393,3.879464,4.136161,3.598878,91884800
30,2000-02-15,4.116071,4.283482,4.113839,4.25,3.697929,121436000
31,2000-02-16,4.205357,4.21875,4.004464,4.075893,3.546439,94561600
32,2000-02-17,4.113839,4.125,4.040179,4.102679,3.569745,72374400
33,2000-02-18,4.09375,4.120536,3.959821,3.973214,3.457098,58360400
34,2000-02-22,3.933036,4.176339,3.810268,4.064732,3.5367269999999995,105574000
35,2000-02-23,4.044085,4.25,3.964286,4.151786,3.612473000000001,118274800
36,2000-02-24,4.189732,4.254464,3.991071,4.114398,3.579942,94108000
37,2000-02-25,4.100446,4.178571,3.933036,3.941964,3.429907,62286000
38,2000-02-28,3.933036,4.107143,3.870536,4.044643,3.519247,82082000
39,2000-02-29,4.055804,4.1875,4.020089,4.09375,3.561976,92240400
40,2000-03-01,4.234375,4.716518,4.232143,4.654018,4.049466000000002,269250800
41,2000-03-02,4.535714,4.569196,4.310268,4.357143,3.791155,77814800
42,2000-03-03,4.459821,4.579799,4.285714,4.571429,3.977604,80841600
43,2000-03-06,4.5,4.611607,4.464286,4.488839,3.905743,52640000
44,2000-03-07,4.515625,4.551339,4.325893,4.388393,3.818345,68252800
45,2000-03-08,4.388393,4.426339,4.234375,4.357143,3.791155,67807600
46,2000-03-09,4.316964,4.464286,4.223214,4.366071,3.798923,69179600
