Date,Open,High,Low,Close,Adj Close,Volume
03/01/2000,3.745536,4.017857,3.631696,3.997768,3.478462,133949200
04/01/2000,3.866071,3.950893,3.613839,3.660714,3.185191,128094400
05/01/2000,3.705357,3.948661,3.678571,3.714286,3.231803,194580400
06/01/2000,3.790179,3.821429,3.392857,3.392857,2.952128,191993200
07/01/2000,3.446429,3.607143,3.410714,3.553571,3.091966,115183600
10/01/2000,3.642857,3.651786,3.383929,3.491071,3.037585,126266000
11/01/2000,3.426339,3.549107,3.232143,3.3125,2.882209,110387200
12/01/2000,3.392857,3.410714,3.089286,3.113839,2.709354,244017200
13/01/2000,3.374442,3.526786,3.303571,3.455357,3.00651,258171200
14/01/2000,3.571429,3.651786,3.549107,3.587054,3.121099,97594000
18/01/2000,3.607143,3.785714,3.587054,3.712054,3.229861,114794400
19/01/2000,3.772321,3.883929,3.691964,3.805804,3.311433,149410800
20/01/2000,4.125,4.339286,4.053571,4.053571,3.527016,457783200
21/01/2000,4.080357,4.080357,3.935268,3.975446,3.459039,123981200
24/01/2000,3.872768,4.026786,3.754464,3.794643,3.301722,110219200
25/01/2000,3.75,4.040179,3.65625,4.008929,3.488172,124286400
26/01/2000,3.928571,4.078125,3.919643,3.935268,3.424081,91789600
27/01/2000,3.886161,4.035714,3.821429,3.928571,3.418254,85036000
28/01/2000,3.863839,3.959821,3.59375,3.629464,3.158,105837200
31/01/2000,3.607143,3.709821,3.375,3.705357,3.224035,175420000
01/02/2000,3.714286,3.75,3.571429,3.580357,3.115272,79508800
02/02/2000,3.598214,3.647321,3.464286,3.529018,3.070602,116048800
03/02/2000,3.582589,3.723214,3.580357,3.689732,3.21044,118798400
04/02/2000,3.712054,3.928571,3.700893,3.857143,3.356104,106330000
07/02/2000,3.857143,4.080357,3.783482,4.073661,3.544496,110266800
08/02/2000,4.071429,4.147321,3.973214,4.102679,3.569745,102160800
09/02/2000,4.075893,4.183036,4.015625,4.022321,3.499825,74841200
10/02/2000,4.03125,4.066964,3.928571,4.053571,3.527016,75745600
11/02/2000,4.058036,4.075893,3.866071,3.883929,3.37941,53062800
14/02/2000,3.904018,4.138393,3.879464,4.136161,3.598878,91884800
15/02/2000,4.116071,4.283482,4.113839,4.25,3.697929,121436000
16/02/2000,4.205357,4.21875,4.004464,4.075893,3.546439,94561600
17/02/2000,4.113839,4.125,4.040179,4.102679,3.569745,72374400
18/02/2000,4.09375,4.120536,3.959821,3.973214,3.457098,58360400
22/02/2000,3.933036,4.176339,3.810268,4.064732,3.536727,105574000
23/02/2000,4.044085,4.25,3.964286,4.151786,3.612473,118274800
